#{"t_start": 1758555839.4310026, "env_id": "None"}
r,l,t
4.1240005,26,0.968419
12.123002,28,1.00154
6.8270187,254,1.355291
7.179001,9,1.369318
-3.002,1,1.37091
-2.9220002,6,1.3789
-2.903,34,1.424553
14.042998,21,1.450674
-3.02,7,1.460752
2.1749895,519,2.174297
-2.7510002,18,2.200463
-1.7839985,151,2.40026
7.762001,55,2.481293
-2.772,27,2.51695
12.086,6,2.5253
4.705002,73,2.630402
25.18499,86,2.753301
7.7940054,87,2.889866
-2.855,19,2.914644
-2.4840002,36,2.964909
-3.002,1,2.966708
-2.8760002,31,3.014421
-3.002,1,3.016093
-2.474,31,3.057743
-3.002,1,3.05897
10.109018,260,3.427109
-2.953,23,3.458887
-2.654,22,3.487637
-2.442,126,3.659921
4.9400024,98,4.934841
0.65998816,309,5.421885
27.263998,16,5.454078
4.271001,77,5.568799
7.3320017,27,5.605167
18.46199,95,5.739135
-2.9060001,4,5.746843
